"collection","title","medium","dimensions_cm","year","image_filename"
"Heranças de Cor e Coragem","Novos caminhos","Acrylic","55x73cm","2026","Novos caminhos.jpg"
"Heranças de Cor e Coragem","Degrau a Degrau","Acrylic","74x92cm","2026","2_Degrau a Degrau.jpg"
"Heranças de Cor e Coragem","Distância","Acrylic","60x80cm","2026","1_Distância.jpg"
"Heranças de Cor e Coragem","O coletivo","Acrylic","100x80cm","2026","O coletivo.jpg"
"Heranças de Cor e Coragem","Voz","Acrylic","100x80cm","2026","Voz.JPG"
"Heranças de Cor e Coragem","Escolha","Acrylic","60x90cm","2026","3_Escolha.jpg"
"Heranças de Cor e Coragem","O jardim","Acrylic","100x80cm","2026","O jardim.jpeg"
"Heranças de Cor e Coragem","Invisível","Acrylic","100x80cm","2026","Invisível.jpg"
"À Luz do Oceano","Underwater World","Mixed media (acrylic and sand)","50x50cm","2025","IMG-20250923-WA0009.jpg"
"À Luz do Oceano","Slow Down","Mixed media (acrylic and sand)","65x80cm","2025","IMG-20250923-WA0001.jpg"
"À Luz do Oceano","Peace","Mixed media (acrylic and sand)","50x50cm","2025","IMG-20250923-WA0006.jpg"
"À Luz do Oceano","Paradise","Mixed media (acrylic and sand)","50x50cm","2025","IMG-20250923-WA0008.jpg"
"À Luz do Oceano","Mindful Wait","Mixed media (acrylic and sand)","40x50cm","2025","IMG-20250923-WA0010.jpg"
"À Luz do Oceano","The Search","Mixed media (acrylic and sand)","40x50cm","2025","IMG-20250923-WA0007.jpg"
"À Luz do Oceano","Ocean Sounds","Mixed media (acrylic and sand)","50x50cm","2025","IMG_5800.jpeg"
"À Luz do Oceano","Stillness Beneath","Mixed media (acrylic and sand)","60x80cm","2025","IMG-20250923-WA0004.jpg"
"À Luz do Oceano","Emergence","Mixed media (acrylic and sand)","70x70cm","2025","IMG_2377.jpeg"
"À Luz do Oceano","Deep Blue","Mixed media (acrylic and sand)","75x65cm","2025","IMG-20250923-WA0005.jpg"
"À Luz do Oceano","","Mixed media (acrylic and sand)","65x80cm","2025","IMG-20250923-WA0011.jpg"
"Traços","","","","2013","image00002.jpeg"
"Traços","","","","2022","image00003.jpeg"
"Traços","","","","2021","image00006.jpeg"
"Traços","","","","2021","image00007.jpeg"
"Traços","","","","2021","image00008.jpeg"
"Traços","","","","","image00010.jpeg"
"Traços","","","","2021","image00011.jpeg"
"Traços","","","","","image00012.jpeg"
"Traços","","","","2021","image00013.jpeg"
"Traços","","","","","image00014.jpeg"
"Traços","","","","2021","image00015.jpeg"
"Traços","","","","","image00016.jpeg"
"Traços","","","","","image00017.jpeg"
"Traços","","","","2021","image00018.jpeg"
"Traços","","","","2023","IMG_5178.jpg"
"Traços","","","","","Lineart_minimalism_couple_trip.jpg"
"Traços","","","","","Lineart_minimalism_couple_vacation.jpg"
"Traços","","","","","Lineart_minimalism_love.jpg"
"Explorações Pictóricas","","Acrylic","70x90cm","2025","still_life_tea_and_cakes.jpg"
"Explorações Pictóricas","","Acrylic","70x90cm","2025","purple_cushion.jpg"
"Explorações Pictóricas","","Acrylic","50x40cm","2025","hands_reaching.jpg"
"Explorações Pictóricas","","Acrylic","60x50cm","2025","abstract_green_teal_gold.jpg"
"Explorações Pictóricas","","Acrylic","50x40cm","2025","portrait_yellow_purple.jpg"
"Explorações Pictóricas","","Acrylic","80x60cm","2025","portrait_orange_blue.jpg"
"Explorações Pictóricas","","Acrylic","50x60cm","2025","abstract_blue_purple_burgundy.jpg"
"Comissões","","","","","toyota_corolla.jpg"
"Comissões","","","","","mother_and_baby.jpg"
"Comissões","","","","","motorcycle_rider.jpg"
"Comissões","","","","","jack_russell_dog.jpg"
"Comissões","","","","","mazda_mx5.jpg"
"Comissões","","","","","man_signing_paper.jpg"
"Comissões","","","","","bride_with_bouquet.jpg"
"Comissões","","","","","bodyboarder_in_wave.jpg"
"Comissões","","","","","frida_kahlo_portrait.jpg"
"Comissões","","","","","dachshund_dog.jpg"
"Comissões","","","","","f1_driver_portrait.jpg"
